user,time,activity
Usuario8,08:57,Yoga
Usuario13,09:04,Yoga
Usuario13,18:02,Yoga
Usuario7,09:02,Yoga
Usuario35,08:58,Yoga
Usuario28,11:59,Yoga
Usuario0,09:01,Yoga
Usuario21,08:57,Yoga
Usuario12,17:56,Yoga
Usuario15,09:02,Yoga
Usuario11,17:58,Yoga
Usuario15,09:00,Yoga
Usuario32,18:03,Yoga
Usuario10,09:04,Yoga
Usuario1,08:57,Yoga
Usuario5,08:56,Yoga
Usuario14,12:01,Yoga
Usuario38,18:01,Yoga
Usuario16,09:00,Yoga
Usuario18,08:57,Yoga
Usuario35,17:59,Yoga
Usuario27,09:03,Yoga
Usuario8,18:01,Yoga
Usuario19,12:03,Yoga
Usuario32,09:04,Yoga
Usuario37,08:57,Yoga
Usuario9,08:57,Yoga
Usuario26,08:57,Yoga
Usuario14,08:56,Yoga
Usuario26,08:58,Yoga
Usuario19,08:58,Yoga
Usuario19,08:58,Yoga
Usuario16,08:56,Yoga
Usuario37,09:01,Yoga
Usuario20,18:00,Yoga
Usuario11,17:57,Yoga
Usuario17,12:02,Yoga
Usuario20,11:59,Yoga
Usuario5,08:59,Yoga
Usuario27,17:56,Yoga
Usuario11,17:57,Yoga
Usuario17,11:56,Yoga
Usuario26,08:59,Yoga
Usuario30,08:56,Yoga
Usuario6,09:02,Yoga
Usuario35,09:01,Yoga
Usuario8,17:56,Yoga
Usuario36,09:00,Yoga
Usuario2,12:01,Yoga
Usuario19,08:58,Yoga
Usuario5,11:59,Yoga
Usuario37,09:02,Yoga
Usuario13,09:04,Yoga
Usuario35,18:03,Yoga
Usuario25,08:57,Yoga
Usuario16,09:03,Yoga
Usuario4,12:02,Yoga
Usuario18,18:04,Yoga
Usuario9,09:00,Yoga
Usuario0,09:04,Yoga
Usuario2,11:59,Yoga
Usuario36,18:03,Yoga
Usuario21,11:56,Yoga
Usuario35,08:56,Yoga
Usuario33,11:56,Yoga
Usuario37,09:00,Yoga
Usuario20,17:56,Yoga
Usuario5,09:02,Yoga
Usuario1,17:57,Yoga
Usuario2,09:01,Yoga
Usuario35,11:56,Yoga
Usuario31,12:04,Yoga
Usuario1,17:56,Yoga
Usuario26,17:59,Yoga
Usuario10,09:04,Yoga
Usuario3,12:03,Yoga
Usuario32,12:04,Yoga
Usuario22,09:01,Yoga
Usuario23,18:03,Yoga
Usuario5,18:03,Yoga
Usuario25,08:57,Yoga
Usuario24,18:03,Yoga
Usuario4,18:02,Yoga
Usuario4,12:04,Yoga
Usuario28,17:56,Yoga
Usuario21,09:02,Yoga
Usuario23,09:01,Yoga
Usuario23,17:58,Yoga
Usuario4,08:58,Yoga
Usuario16,12:04,Yoga
Usuario17,18:01,Yoga
Usuario27,09:03,Yoga
Usuario5,12:01,Yoga
Usuario18,09:01,Yoga
Usuario11,09:01,Yoga
Usuario34,18:04,Yoga
Usuario12,08:57,Yoga
Usuario28,08:59,Yoga
Usuario37,08:56,Yoga
Usuario10,09:02,Yoga
Usuario31,18:04,Yoga
Usuario30,09:02,Yoga
Usuario0,08:56,Yoga
Usuario25,08:58,Yoga
Usuario24,18:01,Yoga
Usuario15,08:56,Yoga
Usuario28,08:56,Yoga
Usuario37,08:58,Yoga
Usuario6,11:56,Yoga
Usuario5,11:56,Yoga
Usuario36,18:00,Yoga
Usuario3,08:56,Yoga
Usuario25,09:00,Yoga
Usuario9,17:59,Yoga
Usuario37,17:59,Yoga
Usuario39,08:56,Yoga
Usuario31,09:03,Yoga
Usuario32,12:02,Yoga
Usuario1,18:00,Yoga
Usuario6,12:01,Yoga
Usuario25,09:03,Yoga
Usuario3,08:57,Yoga
Usuario34,18:03,Yoga
Usuario2,09:01,Yoga
Usuario17,18:01,Yoga
Usuario14,09:00,Yoga
Usuario29,08:58,Yoga
Usuario10,08:57,Yoga
Usuario26,08:58,Yoga
Usuario14,09:04,Yoga
Usuario1,09:01,Yoga
Usuario10,18:04,Yoga
Usuario30,09:02,Yoga
Usuario37,18:00,Yoga
Usuario11,09:01,Yoga
Usuario36,09:00,Yoga
Usuario19,18:04,Yoga
Usuario15,12:04,Yoga
Usuario7,09:04,Yoga
Usuario39,17:59,Yoga
Usuario3,18:04,Yoga
Usuario20,18:00,Yoga
Usuario2,18:00,Yoga
Usuario12,12:02,Yoga
Usuario10,09:03,Yoga
Usuario32,11:57,Yoga
Usuario30,09:04,Yoga
Usuario27,08:57,Yoga
Usuario23,09:01,Yoga
Usuario34,09:00,Yoga
Usuario20,09:04,Yoga
Usuario26,18:04,Yoga
Usuario14,18:04,Yoga
Usuario28,09:04,Yoga
Usuario25,12:03,Yoga
Usuario4,18:00,Yoga
