user,time,activity
Usuario36,18:04,Spinning
Usuario12,18:02,Spinning
Usuario2,08:58,Spinning
Usuario20,12:04,Spinning
Usuario8,18:00,Spinning
Usuario2,09:03,Spinning
Usuario0,08:58,Spinning
Usuario20,09:00,Spinning
Usuario19,18:03,Spinning
Usuario2,12:02,Spinning
Usuario33,11:58,Spinning
Usuario21,17:56,Spinning
Usuario36,17:57,Spinning
Usuario28,12:02,Spinning
Usuario0,09:01,Spinning
Usuario25,09:00,Spinning
Usuario30,12:02,Spinning
Usuario16,09:02,Spinning
Usuario5,12:00,Spinning
Usuario8,12:01,Spinning
Usuario32,08:59,Spinning
Usuario19,09:03,Spinning
Usuario0,12:04,Spinning
Usuario14,08:57,Spinning
Usuario33,08:57,Spinning
Usuario38,09:00,Spinning
Usuario1,09:02,Spinning
Usuario24,08:59,Spinning
Usuario30,09:00,Spinning
Usuario32,18:02,Spinning
Usuario17,11:56,Spinning
Usuario26,08:57,Spinning
Usuario33,09:03,Spinning
Usuario39,17:57,Spinning
Usuario0,08:57,Spinning
Usuario34,08:59,Spinning
Usuario28,09:04,Spinning
Usuario31,09:04,Spinning
Usuario24,12:03,Spinning
Usuario0,08:58,Spinning
Usuario12,08:58,Spinning
Usuario33,08:57,Spinning
Usuario29,08:59,Spinning
Usuario28,08:57,Spinning
Usuario22,11:57,Spinning
Usuario9,08:57,Spinning
Usuario1,12:04,Spinning
Usuario37,11:57,Spinning
Usuario22,11:57,Spinning
Usuario28,11:57,Spinning
Usuario9,08:56,Spinning
Usuario25,09:00,Spinning
Usuario22,12:00,Spinning
Usuario11,11:59,Spinning
Usuario0,09:00,Spinning
Usuario13,08:57,Spinning
Usuario37,08:56,Spinning
Usuario7,09:03,Spinning
Usuario18,08:58,Spinning
Usuario36,09:04,Spinning
Usuario38,18:00,Spinning
Usuario39,17:57,Spinning
Usuario33,08:56,Spinning
Usuario20,09:03,Spinning
Usuario3,08:58,Spinning
Usuario30,11:58,Spinning
Usuario19,08:57,Spinning
Usuario28,18:01,Spinning
Usuario31,12:00,Spinning
Usuario16,08:59,Spinning
Usuario18,18:02,Spinning
Usuario16,12:01,Spinning
Usuario10,18:02,Spinning
Usuario14,12:01,Spinning
Usuario26,18:01,Spinning
Usuario15,11:56,Spinning
Usuario8,18:01,Spinning
Usuario20,08:59,Spinning
Usuario5,09:02,Spinning
Usuario38,08:59,Spinning
Usuario0,12:00,Spinning
Usuario38,17:56,Spinning
Usuario5,08:56,Spinning
Usuario13,08:58,Spinning
Usuario20,18:03,Spinning
Usuario26,17:58,Spinning
Usuario19,12:00,Spinning
Usuario21,12:02,Spinning
Usuario23,08:57,Spinning
Usuario33,11:58,Spinning
Usuario30,09:02,Spinning
Usuario24,08:58,Spinning
Usuario14,09:00,Spinning
Usuario38,11:58,Spinning
Usuario39,18:01,Spinning
Usuario6,11:58,Spinning
Usuario15,09:03,Spinning
Usuario38,11:58,Spinning
Usuario14,18:01,Spinning
Usuario7,09:02,Spinning
Usuario5,09:01,Spinning
Usuario25,11:58,Spinning
Usuario27,08:56,Spinning
Usuario19,08:56,Spinning
Usuario36,12:03,Spinning
Usuario21,09:02,Spinning
Usuario21,09:04,Spinning
Usuario36,12:01,Spinning
Usuario6,18:00,Spinning
Usuario9,08:56,Spinning
Usuario8,09:02,Spinning
Usuario2,09:00,Spinning
Usuario13,08:57,Spinning
Usuario5,12:00,Spinning
Usuario4,11:59,Spinning
Usuario14,12:04,Spinning
Usuario27,12:00,Spinning
Usuario6,18:02,Spinning
Usuario28,18:04,Spinning
Usuario13,08:59,Spinning
Usuario29,12:04,Spinning
Usuario31,09:04,Spinning
Usuario10,18:02,Spinning
Usuario11,09:00,Spinning
Usuario3,09:02,Spinning
Usuario21,09:01,Spinning
Usuario39,18:00,Spinning
Usuario35,09:04,Spinning
Usuario16,17:56,Spinning
Usuario12,12:00,Spinning
Usuario12,09:03,Spinning
Usuario25,18:03,Spinning
Usuario19,08:59,Spinning
Usuario1,09:04,Spinning
Usuario4,09:04,Spinning
Usuario3,08:58,Spinning
Usuario17,18:03,Spinning
Usuario12,18:00,Spinning
Usuario13,18:01,Spinning
Usuario30,08:59,Spinning
Usuario26,12:03,Spinning
Usuario7,11:58,Spinning
Usuario15,11:56,Spinning
Usuario37,12:01,Spinning
Usuario0,12:00,Spinning
Usuario22,08:56,Spinning
Usuario34,18:04,Spinning
Usuario14,12:04,Spinning
Usuario10,09:00,Spinning
Usuario0,09:00,Spinning
Usuario27,18:04,Spinning
Usuario32,12:04,Spinning
Usuario38,11:57,Spinning
Usuario7,18:01,Spinning
Usuario6,09:01,Spinning
Usuario27,18:04,Spinning
Usuario35,11:56,Spinning
Usuario20,18:01,Spinning
Usuario2,11:57,Spinning
Usuario22,17:58,Spinning
Usuario25,12:02,Spinning
Usuario38,08:57,Spinning
Usuario36,11:59,Spinning
Usuario31,08:59,Spinning
Usuario4,09:01,Spinning
Usuario25,17:57,Spinning
Usuario4,17:59,Spinning
Usuario34,08:57,Spinning
Usuario27,09:03,Spinning
Usuario11,11:57,Spinning
Usuario27,08:56,Spinning
Usuario35,09:03,Spinning
Usuario24,12:02,Spinning
Usuario38,11:56,Spinning
Usuario6,08:58,Spinning
Usuario23,18:01,Spinning
Usuario17,18:03,Spinning
Usuario0,08:56,Spinning
Usuario39,08:58,Spinning
Usuario3,12:03,Spinning
Usuario6,12:03,Spinning
Usuario31,09:00,Spinning
Usuario31,09:00,Spinning
Usuario39,18:01,Spinning
Usuario2,12:00,Spinning
Usuario19,08:59,Spinning
Usuario17,12:00,Spinning
Usuario36,18:00,Spinning
Usuario27,18:01,Spinning
Usuario37,18:04,Spinning
Usuario32,09:02,Spinning
Usuario35,09:01,Spinning
Usuario16,18:00,Spinning
Usuario8,09:00,Spinning
Usuario6,11:57,Spinning
Usuario20,09:03,Spinning
Usuario13,17:56,Spinning
Usuario23,11:56,Spinning
Usuario0,18:02,Spinning
Usuario20,09:00,Spinning
Usuario24,18:03,Spinning
Usuario14,08:59,Spinning
Usuario20,18:00,Spinning
Usuario20,11:57,Spinning
Usuario22,18:00,Spinning
Usuario22,08:58,Spinning
Usuario29,18:00,Spinning
Usuario35,09:02,Spinning
Usuario15,17:59,Spinning
Usuario26,08:58,Spinning
Usuario0,09:04,Spinning
Usuario21,18:03,Spinning
Usuario20,11:59,Spinning
Usuario5,18:01,Spinning
Usuario34,08:56,Spinning
Usuario7,17:59,Spinning
Usuario4,09:01,Spinning
Usuario8,08:58,Spinning
Usuario34,08:56,Spinning
Usuario35,11:58,Spinning
Usuario32,09:01,Spinning
Usuario22,17:59,Spinning
Usuario37,11:57,Spinning
Usuario32,08:56,Spinning
Usuario38,08:59,Spinning
Usuario19,11:57,Spinning
Usuario13,18:04,Spinning
Usuario19,18:02,Spinning
Usuario13,11:56,Spinning
Usuario15,09:00,Spinning
Usuario7,08:57,Spinning
Usuario17,09:04,Spinning
Usuario27,08:57,Spinning
Usuario13,09:01,Spinning
Usuario25,17:57,Spinning
Usuario35,11:57,Spinning
Usuario17,08:58,Spinning
Usuario34,17:56,Spinning
Usuario18,17:57,Spinning
Usuario4,17:59,Spinning
Usuario11,08:56,Spinning
Usuario20,08:56,Spinning
Usuario9,08:56,Spinning
Usuario29,18:04,Spinning
Usuario7,09:02,Spinning
Usuario15,09:04,Spinning
Usuario23,09:00,Spinning
Usuario16,08:57,Spinning
